TF,TargetGene,Effect,PMID,DATABASEA
TFEB,SACM1L,Activation,30145926,UNIPROT
SREBF1,ACACA,Activation,11994399,UNIPROT
TFEB,ACACB,Activation,33176151,UNIPROT
SREBF1,ACLY,Activation,11994399,UNIPROT
SREBF1,FASN,Activation,20373869,UNIPROT
SREBF1,FASN,Activation,16308421,UNIPROT
YY1,HSD3B2,Activation,15291746,UNIPROT
NR5A1,HSD3B2,Activation,19022561,UNIPROT
NR5A2,HSD3B2,Activation,19022561,UNIPROT
FOS,HSD3B2,Activation,19022561,UNIPROT
JUN,HSD3B2,Activation,19022561,UNIPROT
STAT6,HSD3B2,Activation,15632317,UNIPROT
NR4A1,HSD3B2,Activation,15666793,UNIPROT
MTF1,MCAT,Activation,15378601,UNIPROT
TWIST2,AKR1C2,Activation,19051271,UNIPROT
TWIST1,AKR1C2,Activation,19051271,UNIPROT
GATA6,CYP11A1,Activation,15284005,UNIPROT
FOXL2,CYP11A1,Repression,21862621,UNIPROT
NR5A2,CYP11B1,Activation,11564608,UNIPROT
NR5A1,CYP11B2,Repression,21169726,UNIPROT
APEX1,CYP11B2,Repression,22652909,UNIPROT
GATA6,CYP17A1,Activation,15284005,UNIPROT
EGR1,HSD11B2,Repression,15659537,UNIPROT
NR5A2,CYP19A1,Activation,19022561,UNIPROT
ESR1,CYP19A1,Repression,11973645,UNIPROT
FOXL2,CYP19A1,Repression,21862621,UNIPROT
NR5A1,CYP19A1,Activation,19022561,UNIPROT
FOS,CYP19A1,Activation,19022561,UNIPROT
JUN,CYP19A1,Activation,19022561,UNIPROT
NR5A1,CYP19A1,Activation,19237537,UNIPROT
CREB1,CYP19A1,Activation,15955695,UNIPROT
ESRRA,CYP19A1,Activation,15955695,UNIPROT
FOXO,GK,Repression,18805788,SIGNOR
FOXO1,GK,Repression,18805788,UNIPROT
HNF4A,GK,Activation,18805788,UNIPROT
TFEB,MOGAT2,Activation,30145926,UNIPROT
TFEB,ACOT2,Activation,33176151,UNIPROT
MLXIPL,ELOVL6,Activation,27524233,UNIPROT
SREBF1,ELOVL6,Activation,18226595,UNIPROT
PRKAA1,SCD,Repression,21478464,UNIPROT
JUN,ALOX12,Unknown,14518567,Trrust
RUNX1,ALOX12,Unknown,20181616,Trrust
SP1,ALOX12,Activation,9164849,Trrust
SP1,ALOX12,Unknown,14518567;16118214,Trrust
STAT6,ALOX12,Unknown,10657944,Trrust
HDAC1,ALOX15,Unknown,19198625,Trrust
MTA1,ALOX15,Unknown,19198625,Trrust
SPI1,ALOX15,Activation,16320347,Trrust
STAT6,ALOX15,Activation,12517954,Trrust
STAT6,ALOX15,Unknown,10657944,Trrust
EGR1,ALOX5,Activation,9062372,Trrust
EGR1,ALOX5,Repression,15517885,Trrust
EGR1,ALOX5,Unknown,10436859,Trrust
HDAC2,ALOX5,Activation,21883892,Trrust
HDAC3,ALOX5,Activation,21883892,Trrust
NFKB1,ALOX5,Repression,15517885,Trrust
RELA,ALOX5,Repression,15517885,Trrust
SP1,ALOX5,Activation,19781662;9062372,Trrust
SP1,ALOX5,Unknown,10436859;2251250,Trrust
TP53,ALOX5,Unknown,17018618,Trrust
AHR,CYP1A1,Activation,12213390;9865727,Trrust
AHR,CYP1A1,Unknown,10359656;12376470;15325265;19376845;21357676;24639079;8631128;9698073,Trrust
ARNT,CYP1A1,Unknown,12376470;19255421;19376845;8631128,Trrust
BRCA1,CYP1A1,Unknown,16567799,Trrust
ESR1,CYP1A1,Repression,15837795,Trrust
KLF4,CYP1A1,Unknown,9651398,Trrust
NFIC,CYP1A1,Repression,10490621,Trrust
NFKB1,CYP1A1,Unknown,19928584,Trrust
PPARA,CYP1A1,Activation,15521013,Trrust
RARA,CYP1A1,Unknown,15325265,Trrust
RELA,CYP1A1,Unknown,19928584,Trrust
USF1,CYP1A1,Repression,9388470,Trrust
VDR,CYP1A1,Unknown,22837390,Trrust
AHR,CYP1A2,Unknown,21357676,Trrust
FOS,CYP1A2,Unknown,12135113,Trrust
HNF1A,CYP1A2,Unknown,7723729,Trrust
JUN,CYP1A2,Unknown,12135113,Trrust
AHR,CYP1B1,Activation,16115918;19287966,Trrust
AHR,CYP1B1,Unknown,12376470;19376845;21742528;24299737,Trrust
ARNT,CYP1B1,Activation,16115918;19287966,Trrust
ARNT,CYP1B1,Unknown,12376470;19255421;19376845;21742528;24299737,Trrust
ESR1,CYP1B1,Unknown,15126349,Trrust
KAT2B,CYP1B1,Unknown,20631054,Trrust
JUN,CYP2J2,Unknown,12737630;16008525,Trrust
STAT3,FAAH,Activation,12556536,Trrust
TFAP2C,GPX1,Activation,22964634,Trrust
CREB1,HPGD,Unknown,10650939,Trrust
ERG,HPGD,Unknown,21178489,Trrust
ETS1,HPGD,Unknown,10650939,Trrust
KLF6,LTC4S,Unknown,10722737,Trrust
NFKB1,LTC4S,Repression,12574384,Trrust
RELA,LTC4S,Repression,12574384,Trrust
SP1,LTC4S,Unknown,10722737;10919991,Trrust
NFKB1,PTGDS,Activation,19094210,Trrust
USF1,PTGDS,Activation,17574780,Trrust
USF1,PTGDS,Repression,18817855,Trrust
CREB1,PTGES,Unknown,20688046,Trrust
HDAC4,PTGES,Unknown,19115247,Trrust
HIF1A,PTGES,Activation,18050215,Trrust
NFKB1,PTGES,Activation,17928629,Trrust
RELA,PTGES,Activation,17928629,Trrust
SP1,PTGES,Unknown,20688046,Trrust
MLL4,COX1,Unknown,19570036,Trrust
NFKB1,COX1,Unknown,19570036,Trrust
NR3C1,COX1,Unknown,19570036,Trrust
RELA,COX1,Unknown,19570036,Trrust
PPARA,ACADL,Unknown,20110263,Trrust
PPARA,SLC25A20,Unknown,19748481,Trrust
SP1,SLC25A20,Unknown,21130740,Trrust
HNF1A,AKR1C4,Unknown,11284743,Trrust
HNF4A,AKR1C4,Unknown,11284743,Trrust
HNF4G,AKR1C4,Unknown,11284743,Trrust
HNF4A,CYP27A1,Unknown,12957378,Trrust
SP3,CYP46A1,Unknown,20930312,Trrust
HDAC7,CYP7A1,Unknown,17654698,Trrust
HNF4A,CYP7A1,Repression,23626788,Trrust
NR0B2,CYP7A1,Unknown,15358835;15581596,Trrust
NR1H4,CYP7A1,Repression,17135343,Trrust
PROX1,CYP7A1,Repression,23626788,Trrust
RXRA,CYP7A1,Unknown,19106115,Trrust
SMAD3,CYP7A1,Repression,17920062,Trrust
SP1,CYP7A1,Unknown,9875228,Trrust
VDR,CYP7A1,Repression,19106115;20371703,Trrust
SP1,CYP7B1,Unknown,11470525,Trrust
NR0B2,CYP8B1,Unknown,15581596,Trrust
CDX2,ACAT2,Activation,16274362,Trrust
HNF1A,ACAT2,Activation,16274362,Trrust
HNF4A,ACAT2,Unknown,19478207,Trrust
SREBF1,FDFT1,Unknown,11008488;11111077,Trrust
SREBF2,FDFT1,Unknown,11008488;11111077,Trrust
NFYC,FDPS,Unknown,20450493,Trrust
SREBF1,FDPS,Unknown,8798690,Trrust
SREBF2,FDPS,Unknown,20450493,Trrust
YY1,FDPS,Unknown,10318878,Trrust
EGR1,GGPS1,Unknown,21983072,Trrust
SREBF2,HMGCR,Activation,17448444,Trrust
SREBF2,HMGCR,Unknown,19288057,Trrust
HDAC1,HMGCS1,Unknown,12626711,Trrust
HDAC3,LSS,Unknown,17925399,Trrust
YY1,LSS,Unknown,17925399,Trrust
EGR1,ACHE,Unknown,7559515,Trrust
TFAP2A,ACHE,Repression,7559515,Trrust
ESR1,CHAT,Unknown,10037443,Trrust
ESR2,CHAT,Unknown,10037443,Trrust
STAT1,CHAT,Unknown,12425940,Trrust
BCL6,CHEK1,Repression,18346918,Trrust
E2F1,CHEK1,Unknown,18660752,Trrust
MYC,CHEK1,Activation,23269272,Trrust
TP53,CHEK1,Repression,15016801,Trrust
TP53,CHEK1,Unknown,11152453,Trrust
ZNF143,PCYT1A,Activation,14702349,Trrust
ZNF76,PCYT1A,Activation,14702349,Trrust
NFKB1,PCYT2,Unknown,18583706,Trrust
RELA,PCYT2,Unknown,18583706,Trrust
NFKB1,PLA2G2A,Unknown,11899260,Trrust
RELA,PLA2G2A,Unknown,11899260,Trrust
HIRA,PLB1,Repression,9809417,Trrust
CTNNB1,PLD1,Activation,20442281,Trrust
PGR,PLD1,Unknown,21284604,Trrust
RXRA,PLD1,Unknown,17433303,Trrust
TCF4,PLD1,Activation,20442281,Trrust
VDR,PLD1,Unknown,17433303,Trrust
KLF6,ASAH1,Unknown,16500425,Trrust
ETV4,GBA,Unknown,9272862,Trrust
SP1,SMPD1,Activation,10224156,Trrust
SP1,B4GALT5,Activation,15263012;16873896,Trrust
PPARG,ACAT1,Activation,19049899,Trrust
STAT1,ACAT1,Unknown,18000807,Trrust
FOXA1,ABCA1,Repression,24807696,Trrust
FOXA2,ABCA1,Repression,24807696,Trrust
NFKB1,ABCA1,Repression,17135302,Trrust
NR1H2,ABCA1,Activation,16141411,Trrust
NR1H3,ABCA1,Activation,11264984;16141411;18580406;19201410,Trrust
NR1H3,ABCA1,Unknown,15171719,Trrust
RELA,ABCA1,Repression,17135302,Trrust
RXRA,ABCA1,Activation,14764426,Trrust
SP1,ABCA1,Activation,11264984;17887732,Trrust
SP1,ABCA1,Unknown,10884428,Trrust
SP3,ABCA1,Repression,15922656,Trrust
SP3,ABCA1,Unknown,10884428,Trrust
SREBF2,ABCA1,Repression,15922656;16901265,Trrust
STAT3,ABCA1,Unknown,19783654,Trrust
USF1,ABCA1,Activation,11861672,Trrust
USF2,ABCA1,Activation,11861672,Trrust
ZNF202,ABCA1,Repression,15922656,Trrust
NR1H2,ABCG1,Activation,16141411,Trrust
NR1H3,ABCG1,Activation,16141411;18580406,Trrust
FOXA2,APOA1,Unknown,7961760,Trrust
GATA6,APOA1,Unknown,14659877,Trrust
HNF4A,APOA1,Unknown,7961760,Trrust
SP1,APOA1,Unknown,10829013,Trrust
HNF4A,APOA2,Unknown,1639815,Trrust
NR2F1,APOA2,Unknown,1639815,Trrust
NR2F6,APOA2,Unknown,1639815,Trrust
USF1,APOA2,Unknown,9880489,Trrust
USF2,APOA2,Unknown,9880489,Trrust
PPARA,APOA4,Unknown,19433068,Trrust
FOXA1,APOB,Activation,8441395,Trrust
HNF4A,APOB,Unknown,1639815,Trrust
NR2F1,APOB,Unknown,1639815,Trrust
NR2F6,APOB,Unknown,1639815,Trrust
PPARA,APOB,Activation,11925428,Trrust
PPARA,APOB,Repression,16542871,Trrust
PPARG,APOB,Repression,16542871,Trrust
ATF2,APOC3,Activation,9760243,Trrust
HDAC1,APOC3,Unknown,20516075,Trrust
HDAC3,APOC3,Unknown,20516075,Trrust
HNF4A,APOC3,Unknown,1639815;20516075,Trrust
JUN,APOC3,Activation,9760243,Trrust
NR2F1,APOC3,Unknown,1639815,Trrust
NR2F6,APOC3,Unknown,1639815,Trrust
PPARA,APOC3,Repression,10494028,Trrust
PPARA,APOC3,Unknown,11007963,Trrust
SMAD4,APOC3,Activation,10995777,Trrust
SP1,APOC3,Unknown,7640286,Trrust
ATF4,APOE,Activation,22028770,Trrust
FOXM1,APOE,Unknown,11229886,Trrust
SP1,APOE,Unknown,11229886,Trrust
NR1H3,CETP,Unknown,18562803,Trrust
NR5A2,CETP,Activation,11331284,Trrust
PPARA,CETP,Activation,18481130,Trrust
SP1,CETP,Repression,10669650,Trrust
SP1,CETP,Unknown,12730302,Trrust
SP3,CETP,Repression,10669650,Trrust
SP3,CETP,Unknown,12730302,Trrust
SREBF1,CETP,Unknown,10393213,Trrust
YY1,CETP,Unknown,10393213,Trrust
SP1,LCAT,Unknown,9610763,Trrust
SP3,LCAT,Unknown,9610763,Trrust
STAT3,LCAT,Unknown,12032172,Trrust
ATF3,LDLR,Repression,21294679,Trrust
EGR1,LDLR,Activation,12235180,Trrust
EGR1,LDLR,Unknown,12947119,Trrust
SP1,LDLR,Activation,16303770,Trrust
SREBF1,LDLR,Activation,22153697,Trrust
SREBF1,LDLR,Unknown,12180145,Trrust
SREBF2,LDLR,Activation,16697011;17448444;21123766;22153697,Trrust
YY1,LDLR,Unknown,10318878,Trrust
HNF4A,LIPC,Unknown,16603721,Trrust
SREBF2,LIPC,Unknown,15721010,Trrust
USF1,LIPC,Unknown,15721010;19416648,Trrust
USF2,LIPC,Unknown,19416648,Trrust
NFKB1,LPL,Activation,20200316,Trrust
PPARA,LPL,Activation,10634806,Trrust
PPARD,LPL,Activation,10634806,Trrust
RELA,LPL,Activation,20200316,Trrust
SP1,LPL,Unknown,18793716;9788252,Trrust
SP3,LPL,Activation,9788252,Trrust
SP3,LPL,Unknown,18793716,Trrust
HNF1A,MTTP,Activation,22357705,Trrust
HNF1A,MTTP,Unknown,18697801,Trrust
HNF4A,MTTP,Activation,22357705,Trrust
NR2F1,MTTP,Repression,22357705,Trrust
SREBF2,MTTP,Repression,10455139,Trrust
NR1H4,PLTP,Unknown,10998425,Trrust
NR1H4,SCARB1,Activation,20956002,Trrust
SPI1,SCARB1,Unknown,8007948,Trrust
STAT1,SCARB1,Unknown,17998316,Trrust
STAT2,SCARB1,Unknown,17998316,Trrust
PPARA,ACOX1,Unknown,20110263,Trrust
MYC,CYP3A4,Unknown,14575816,Trrust
NR1I2,CYP3A4,Activation,12601364;15269186;18540626;19232333;21342487,Trrust
NR1I2,CYP3A4,Unknown,11991950;12606758;15100175;15650019;16608838;18096673;20171174;21292004;21920351;23807564,Trrust
VDR,CYP3A4,Unknown,11723248,Trrust
VDR,CYP3A4,Activation,12147248;19712670,Trrust
VDR,CYP3A4,Unknown,11991950;15205382;15358113;18400206;22939842,Trrust
KLF10,PTGS1,Activation,23178857,Trrust
APC,PTGS2,Repression,10772828;12566320,Trrust
APC,PTGS2,Unknown,11396184,Trrust
AR,PTGS2,Repression,18386814,Trrust
ATF2,PTGS2,Unknown,11278336;12057991,Trrust
ATF4,PTGS2,Unknown,21244365,Trrust
CDX1,PTGS2,Activation,21613300,Trrust
CDX2,PTGS2,Repression,15013430,Trrust
CEBPB,PTGS2,Activation,16820889;18294142,Trrust
CEBPB,PTGS2,Repression,18820298,Trrust
CEBPB,PTGS2,Unknown,10956548;16699180;17556653;7559624,Trrust
CEBPD,PTGS2,Unknown,7559624,Trrust
CREB1,PTGS2,Activation,22919060,Trrust
CREBBP,PTGS2,Unknown,11278336,Trrust
CTNNB1,PTGS2,Unknown,11396184,Trrust
DR1,PTGS2,Activation,11840453,Trrust
EGR1,PTGS2,Repression,15517885,Trrust
EGR2,PTGS2,Unknown,24007274,Trrust
ELF3,PTGS2,Unknown,15794755,Trrust
ENO1,PTGS2,Unknown,19846662,Trrust
EP300,PTGS2,Activation,12471036,Trrust
EP300,PTGS2,Unknown,12057991;17237818;17395887,Trrust
ETV4,PTGS2,Activation,11274170,Trrust
FOS,PTGS2,Activation,9620167,Trrust
FOS,PTGS2,Unknown,11278336;12057991;17556653,Trrust
HDAC1,PTGS2,Activation,17395887,Trrust
HDAC4,PTGS2,Activation,18820298,Trrust
HMGA1,PTGS2,Activation,22898640,Trrust
ING4,PTGS2,Repression,18399550,Trrust
JUN,PTGS2,Activation,15772294;18294142;9620167,Trrust
JUN,PTGS2,Unknown,11278336;12057991;16339564;17556653;20237399,Trrust
JUNB,PTGS2,Activation,9620167,Trrust
JUND,PTGS2,Activation,9620167,Trrust
NFKB1,PTGS2,Activation,10827178;12471036;15368354;15387324;15547942;15555528;15997464;16624933;16820889;18057724;18294142;19618291;22001128,Trrust
NFKB1,PTGS2,Repression,12622742;15517885,Trrust
NFKB1,PTGS2,Unknown,12067569;12349897;12871860;14988266;15655349;16210649;17556653;17673602;17767925;18973191;19766095;20103608;20669087,Trrust
PGR,PTGS2,Repression,18483177,Trrust
PPARG,PTGS2,Activation,11412039,Trrust
PPARG,PTGS2,Repression,14555539;16506021,Trrust
PPARG,PTGS2,Unknown,10827178;11278336,Trrust
RELA,PTGS2,Activation,10827178;12471036;15368354;15387324;15547942;15555528;15997464;16624933;16820889;18057724;18294142;19618291;22001128,Trrust
RELA,PTGS2,Repression,12622742;15517885,Trrust
RELA,PTGS2,Unknown,12067569;12349897;12871860;14645117;14988266;15655349;16210649;17556653;17673602;17767925;18973191;19766095;20103608;20669087,Trrust
SETBP1,PTGS2,Repression,18419541,Trrust
SP1,PTGS2,Activation,15767339,Trrust
SP1,PTGS2,Repression,15767339,Trrust
STAT1,PTGS2,Activation,12586443,Trrust
STAT1,PTGS2,Unknown,10433370;16685393,Trrust
STAT2,PTGS2,Activation,12586443,Trrust
STAT3,PTGS2,Activation,20145033,Trrust
STAT3,PTGS2,Unknown,21172343,Trrust
STAT6,PTGS2,Activation,17237818,Trrust
TCF7L2,PTGS2,Unknown,11396184,Trrust
TFAP2A,PTGS2,Unknown,16423197,Trrust
USF1,PTGS2,Repression,18817855,Trrust
USF2,PTGS2,Unknown,12057991,Trrust
SP1,AMACR,Unknown,19148275,Trrust
ZNF202,AMACR,Unknown,19148275,Trrust
FOXO3,PIK3CA,Unknown,19299143,Trrust
HIF1A,PIK3CA,Unknown,23060442,Trrust
RUNX1,PIK3CD,Unknown,19638627,Trrust
AR,PTEN,Activation,23418309,Trrust
AR,PTEN,Unknown,20729295;21532617,Trrust
EGR1,PTEN,Activation,17516844;20514024,Trrust
EGR1,PTEN,Unknown,20959484,Trrust
EZH2,PTEN,Unknown,22956625,Trrust
HES1,PTEN,Repression,18414037,Trrust
MTA1,PTEN,Repression,22700976,Trrust
MXD1,PTEN,Repression,17998413,Trrust
NFKB1,PTEN,Activation,17334236;19940030,Trrust
NFKB1,PTEN,Repression,19940030,Trrust
PPARG,PTEN,Activation,11378386;16425225;16775433;20198337,Trrust
RBPJ,PTEN,Repression,17245125,Trrust
RELA,PTEN,Activation,17334236;19940030,Trrust
RELA,PTEN,Repression,19940030,Trrust
SP1,PTEN,Unknown,22030357,Trrust
STAT3,PTEN,Activation,22055460,Trrust
TCF4,PTEN,Repression,21132538,Trrust
TFAP2A,PTEN,Activation,18316341,Trrust
TP53,PTEN,Repression,17344317,Trrust
TP53,PTEN,Unknown,11545734,Trrust
CREB1,ACACA,Activation,19842072,Trrust
MYF6,ACACB,Unknown,11076940,Trrust
MYOD1,ACACB,Unknown,11076940,Trrust
MYOG,ACACB,Unknown,11076940,Trrust
SREBF1,ACACB,Unknown,12764144,Trrust
SREBF1,ACLY,Activation,10777536,Trrust
KLF5,FASN,Activation,18774944,Trrust
SREBF1,FASN,Unknown,10520861;11790787;17449569,Trrust
NR4A1,HSD3B2,Unknown,15208301;20083153;23874725,Trrust
NR5A2,HSD3B2,Unknown,23874725,Trrust
GATA4,SGPL1,Unknown,21184844,Trrust
SP1,SGPL1,Unknown,21184844,Trrust
CREB1,CYP11A1,Unknown,11057754,Trrust
GRHL1,CYP11A1,Unknown,18004979,Trrust
JUN,CYP11A1,Unknown,11057754,Trrust
NR4A1,CYP11A1,Unknown,20083153,Trrust
NR5A1,CYP11A1,Unknown,11057754;23530236,Trrust
NR5A2,CYP11A1,Unknown,19067654,Trrust
SF1,CYP11A1,Activation,19477906,Trrust
TFAP2A,CYP11A1,Unknown,10446912,Trrust
TFCP2L1,CYP11A1,Unknown,18004979,Trrust
UBP1,CYP11A1,Unknown,18004979,Trrust
ATF1,CYP11B1,Unknown,11014212;11196473,Trrust
ATF2,CYP11B1,Unknown,11014212;11196473,Trrust
CREB1,CYP11B1,Unknown,11196473,Trrust
NR5A1,CYP11B1,Unknown,11014212,Trrust
ATF1,CYP11B2,Unknown,11196473,Trrust
ATF2,CYP11B2,Unknown,11196473,Trrust
CREB1,CYP11B2,Unknown,11196473,Trrust
CREB1,CYP17A1,Unknown,2543297,Trrust
GATA4,CYP17A1,Unknown,14988427,Trrust
GATA6,CYP17A1,Unknown,14988427,Trrust
NFIC,CYP17A1,Activation,14684846,Trrust
NFIC,CYP17A1,Unknown,11463853,Trrust
NR2F1,CYP17A1,Repression,11592817,Trrust
NR4A1,CYP17A1,Unknown,20083153,Trrust
NR5A1,CYP17A1,Activation,17786540,Trrust
NR5A1,CYP17A1,Unknown,17664281;21467194;23530236,Trrust
PIAS1,CYP17A1,Unknown,21467194,Trrust
SMAD3,CYP17A1,Repression,17786540,Trrust
SP1,CYP17A1,Unknown,11379008;11463853,Trrust
SP3,CYP17A1,Unknown,11463853,Trrust
NF1,HSD11B2,Unknown,17551100,Trrust
NFIC,HSD11B2,Unknown,17551100,Trrust
NFKB1,HSD11B2,Activation,15659537,Trrust
NFKB1,HSD11B2,Repression,15659537,Trrust
NR3C1,HSD11B2,Unknown,17551100,Trrust
RELA,HSD11B2,Activation,15659537,Trrust
SP1,HSD11B2,Unknown,17551100,Trrust
RARA,HSD17B2,Activation,18270252,Trrust
RARA,HSD17B2,Unknown,17538076,Trrust
RXRA,HSD17B2,Activation,18270252,Trrust
RXRA,HSD17B2,Unknown,17538076,Trrust
SP1,HSD17B2,Activation,16807381;18270252,Trrust
SP1,HSD17B2,Repression,18270252,Trrust
SP2,HSD17B2,Repression,18270252,Trrust
SP3,HSD17B2,Activation,16807381;18270252,Trrust
HSF1,HSD17B6,Repression,16278218,Trrust
BRCA1,CYP19A1,Activation,21087664,Trrust
BRCA1,CYP19A1,Unknown,19445691,Trrust
CEBPB,CYP19A1,Repression,11994385,Trrust
CEBPB,CYP19A1,Unknown,7635140;8603036,Trrust
CEBPD,CYP19A1,Repression,11994385,Trrust
CREB1,CYP19A1,Activation,15955695;16740737,Trrust
ESR1,CYP19A1,Activation,12839940,Trrust
ESRRA,CYP19A1,Activation,15955695;20351196;23340254,Trrust
ESRRA,CYP19A1,Unknown,11973645,Trrust
JUN,CYP19A1,Repression,16810058,Trrust
NFKB1,CYP19A1,Repression,15459115,Trrust
NR2F1,CYP19A1,Unknown,11973645,Trrust
NR2F6,CYP19A1,Unknown,11973645,Trrust
NR3C1,CYP19A1,Activation,16740737,Trrust
NR5A1,CYP19A1,Activation,12213901;21087664,Trrust
NR5A1,CYP19A1,Repression,22427816,Trrust
NR5A2,CYP19A1,Unknown,11927588,Trrust
PGR,CYP19A1,Repression,18483177,Trrust
RARG,CYP19A1,Unknown,11973645,Trrust
RELA,CYP19A1,Repression,15459115;18519709,Trrust
SP1,CYP19A1,Unknown,15072557,Trrust
STAT3,CYP19A1,Unknown,15072557,Trrust
USF1,CYP19A1,Repression,12917334,Trrust
USF2,CYP19A1,Repression,12917334,Trrust
WT1,CYP19A1,Repression,12213901,Trrust
NFKB1,LIPE,Activation,17272828,Trrust
PPARG,LIPE,Activation,16269451,Trrust
RELA,LIPE,Activation,17272828,Trrust
NFYA,LPIN1,Unknown,19553673,Trrust
NFYB,LPIN1,Unknown,19553673,Trrust
NFYC,LPIN1,Unknown,19553673,Trrust
SREBF1,LPIN1,Unknown,19553673,Trrust
SREBF2,ACOT7,Activation,16335799,Trrust
RARA,SCD,Activation,11397803,Trrust
SREBF1,SCD,Unknown,11414710,Trrust
