TF,TargetGene,Tissue,chea,signor,trrust,Experiment
CTCF,MECR,hspcs,,,,"CTCF IP - HEL 92.1.7 cells, Rep 5 , CTCF IP - HEL 92.1.7 cells, Rep 1 , CTCF IP - HEL 92.1.7 cells, Rep 7 , CTCF IP - HEL 92.1.7 cells, Rep 2 , CTCF IP - HEL 92.1.7 cells, Rep 13 , CTCF IP - HEL 92.1.7 cells, Rep 4 , CTCF IP - HEL 92.1.7 cells, Rep 11 , CTCF IP - HEL 92.1.7 cells, Rep 14 , CTCF IP - HEL 92.1.7 cells, Rep 8 "
CTCF,MECR,adiposetissue,,,,"CTCF ChIP-Seq - d 0, CTCF ChIP-Seq - d -2, CTCF ChIP-Seq - d 9"
CTCF,MECR,sensory,,,,"CTCF IP - HRPEpiC cells, Rep 2 , CTCF IP - WERI , CTCF IP - WERI-Rb-1- cells, Rep 1 , CTCF IP - HRPEpiC cells, Rep 1 "
E2F1,MECR,prostate,,,,"BICALU | E2F1 ChIP-Seq - Rep 1, BICALU + HES6OE | E2F1 ChIP-Seq - Rep 4, BICALU | E2F1 ChIP-Seq - Rep 3, HES6 OE | E2F1 ChIP-Seq - Rep 3, E2F1 ChIP-Seq - Rep 2, E2F1 ChIP-Seq - Rep 3, HES6 OE | E2F1 ChIP-Seq - Rep 1, HES6 OE + BICALU | E2F1 ChIP-Seq - Rep 1, E2F1 ChIP-Seq - Rep 4, E2F1 ChIP-Seq - Rep 1, HES6 OE + BICALU | E2F1 ChIP-Seq - Rep 3"
BICALU,MECR,prostate,,,,"BICALU | E2F1 ChIP-Seq - Rep 1, BICALU + HES6OE | E2F1 ChIP-Seq - Rep 4, BICALU | E2F1 ChIP-Seq - Rep 3, HES6 OE + BICALU | E2F1 ChIP-Seq - Rep 1, HES6 OE + BICALU | E2F1 ChIP-Seq - Rep 3"
ZNF143,MECR,leukocytes,,,,"ZNF143 IP - GM12878 cells, ZNF143 IP - K562 cells"
CTCF,MECR,skin,,,,"CTCF IP - AG04449 cells, Rep 1 , CTCF IP - AG10803 cells, Rep 2 , CTCF IP - HFFC cells, Rep 3 , CTCF IP - NHDF cells, Rep 1 , CTCF IP - HFFC cells, Rep 2 , CTCF IP - BJ cells, Rep 2 , CTCF IP - NHEK cells , CTCF IP - AG04449 cells, Rep 2 , CTCF IP - BJ cells, Rep 1 , CTCF IP - AG10803 cells, Rep 1 , CTCF IP - GM12878 cells, Rep 2 , CTCF IP - AG09309 cells, Rep 2 , CTCF IP - HFFC cells, Rep 1 , CTCF IP - NHDF cells , CTCF IP - AG09309 cells, Rep 1 , CTCF IP - NHDF cells, Rep 2 "
CTCF,MECR,vasculature,,,,"CTCF IP - HUVEC cells, Rep 1 , CTCF IP - AoAFC cells, Rep 2 , CTCF IP - HPAF cells, Rep 2 , CTCF IP - HUVEC cells, Rep 2 , CTCF IP - HPAF cells, Rep 1 , CTCF IP - AoAFC cells, Rep 1 , CTCF IP - HUVEC cells , CTCF IP - HBMEC cells, Rep 1 , CTCF IP - HBMEC cells, Rep 2 "
CTCF,MECR,colon,,,,"CTCF IP - HCT116 cells, Rep 2 , CTCF IP - HCT116 cells, Rep 1 , CTCF IP - HCT116 cells, CTCF IP - Rep 2 "
GTF2F1,MECR,uterus,,,,GTF2F1 IP - HeLa cells
SP1,MECR,colon,,,,SP1 IP - HCT116 cells
GATA3,MECR,cns,,,,GATA3 IP - SK-N-SH cells
JUN,MECR,leukocytes,,,,"JUN IP - K562 cells, Rep 2, JUN IP | IFNA1-13 - 30 min , JUN IP - K562 cells, Rep 1"
BHLHE40,MECR,leukocytes,,,,"BHLHE40 IP - GM12878 cells, BHLHE40 IP - K562 cells"
MXI1,MECR,stemcells,,,,MXI1 IP - H1 cells
CTCF,MECR,kidney,,,,"CTCF IP - RPTEC cells, Rep 1 , CTCF IP - HEK293 cells, Rep 2 , CTCF IP - HEK293 cells, Rep 1 , CTCF IP - HRE cells, Rep 1 , CTCF IP - RPTEC cells, Rep 2 , CTCF IP - HRE cells, Rep 2 "
CTCF,MECR,placenta,,,,"CTCF IP - HVMF cells, Rep 2 , CTCF IP - HVMF cells, Rep 1 "
MXI1,MECR,lung,,,,MXI1 IP - IMR cells
USF1,MECR,leukocytes,,,,"USF1 IP - GM12878 cells, USF1 IP - K562 cells"
CREB1,MECR,stemcells,,,,CREB1 IP - H1 cells
MAX,MECR,leukocytes,,,,"MAX IP - K562 cells, Rep 1, MAX IP - NB4 cells, MAX IP - K562 cells, Rep 2, MAX IP - GM12878 cells, MAX IP - K562 cells"
USF1,MECR,cns,,,,"USF1 IP | ATRA - SK-N-SH cells, USF1 IP - SK-N-SH cells"
ATRA,MECR,cns,,,,"USF1 IP | ATRA - SK-N-SH cells, YY1 IP | ATRA - SK-N-SH cells"
FOXA1,MECR,mammarygland,,,,"DEX | FOXA1 ChIP-Seq - Rep 1, DEX | FOXA1 ChIP-Seq - Rep 2, 17BE2 | FOXA1 ChIP-Seq - Rep 2, FOXA1 ChIP-Seq - Rep 2, DHT | FOXA1 ChIP-Seq, FOXA1 ChIP-Seq - Rep 1, 17BE2 | FOXA1 ChIP-Seq - Rep 1, 17BE2 | FOXA1 ChIP-Seq - Rep 2, 17BE2 | FOXA1 ChIP-Seq - Rep 1, FOXA1 IP - T47D cells, DEX | FOXA1 ChIP-Seq - Rep 1, FOXA1 ChIP-Seq - Rep 1"
DEX,MECR,mammarygland,,,,"DEX | FOXA1 ChIP-Seq - Rep 1, DEX | FOXA1 ChIP-Seq - Rep 2, DEX | FOXA1 ChIP-Seq - Rep 1"
SPI1,MECR,leukocytes,,,,"SPI1 IP - K562 cells, SPI1 IP - HL cells, SPI1 IP - GM12878 cells"
GATA3,MECR,mammarygland,,,,GATA3 IP - MCF7 cells
CTCF,MECR,lung,,,,"CTCF IP | DEX - A549 cells, CTCF IP - AG04450 cells, Rep 2 , CTCF IP - HPF cells, Rep 2 , CTCF IP - A549 cells, CTCF IP - NHLF cells , CTCF IP - A549 cells, Rep 2 , CTCF ChIP-Seq - A549, CTCF IP - AG04450 cells, Rep 1 , CTCF IP - IMR cells, CTCF IP | DEX - A549 cells , CTCF IP - A549 cells , CTCF IP - SAEC cells, Rep 2 , CTCF IP - HPF cells, Rep 1 , CTCF IP - NHLF cells , CTCF IP - SAEC cells, Rep 1 "
DEX,MECR,lung,,,,"CTCF IP | DEX - A549 cells, CREB1 IP | DEX - A549 cells, USF1 IP | DEX - A549 cells, CTCF IP | DEX - A549 cells "
MXI1,MECR,leukocytes,,,,"MXI1 IP - K562 cells, MXI1 IP - GM12878 cells"
MAX,MECR,stemcells,,,,"MAX IP - H1 cells, MAX IP - H1 cells"
SRF,MECR,leukocytes,,,,"SRF IP - GM12878 cells, Rep 2, SRF IP - K562 cells, SRF IP - SK-N-SH cells"
MAFK,MECR,uterus,,,,MAFK IP - HeLa cells
CTCF,MECR,mammarygland,,,,"CTCF IP - MCF-7 cells, Rep 1 , CTCF IP - MCF7 cells, CTCF IP - T47D cells, CTCF IP - HMF cells, Rep 2 , CTCF IP - HMEC cells , CTCF IP - HMEC cells, Rep 2 , CTCF IP - HMEC cells, Rep 1 "
E2F6,MECR,lung,,,,E2F6 IP - A549 cells
CTCF,MECR,stemcells,,,,"CTCF IP - Rep 6 , CTCF IP - H1 cells, CTCF IP - Rep 5 , CTCF IP - Rep 4 , CTCF IP - Rep 2 , CTCF IP - Rep 7 , CTCF IP - Rep 1 , CTCF IP - H1 cells "
TCF12,MECR,cns,,,,TCF12 IP - SK-N-SH cells
ZFP42,MECR,stemcells,,,,"ZFP42 IP - Rep 1 , ZFP42 IP - Rep 2 "
TCF12,MECR,uterus,,,,TCF12 IP - ECC1 cells
CTCF,MECR,megakaryocytelineage,,,,"CTCF IP - MEG-01 cells, Rep 6 , CTCF IP - MEG-01 cells, Rep 5 , CTCF IP - MEG-01 cells, Rep 2 , CTCF IP - MEG-01 cells, Rep 4 , CTCF IP - MEG-01 cells, Rep 10 , CTCF IP - MEG-01 cells, Rep 8 "
MYC,MECR,leukocytes,,,,"MYC IP | IFNG - K562 cells, 6 h, MYC IP | IFNG - K562 cells, 30 min, MYC IP | IFNA1 - K562 cells, 6 h, MYC IP - K562 cells, Rep 2, MYC IP | IFNA1 - K562 cells, 30 min, MYC IP - NB4 cells, MYC IP - K562 cells, Rep 1"
IFNG,MECR,leukocytes,,,,"MYC IP | IFNG - K562 cells, 6 h, MYC IP | IFNG - K562 cells, 30 min, IRF1 IP | IFNG - K562 cells, 6 h, IRF1 IP | IFNG - K562 cells, 30 min"
ATF2,MECR,colon,,,,ATF2 IP 
ATF3,MECR,stemcells,,,,ATF3 IP - H1 cells
REST,MECR,cns,,,,"REST IP - PFSK1 cells, Rep 2, REST IP - PFSK-N-SH cells1 cells, Rep 1, REST IP - SK cells, REST IP - U87 cells, REST IP - SK-N-SH cells"
ZBTB7A,MECR,leukocytes,,,,ZBTB7A IP - SK-N-SH cells
FOXA1,MECR,prostate,,,,"CON KD  | FOXA1 ChIP-Seq, FOXA1 siRNA | CREB1 ChIP-Seq - Rep 1, CON KD | FOXA1 ChIP-Seq, FOXA1 siRNA | CREB1 ChIP-Seq - Rep 2, DHT | FOXA1 ChIP-Seq, GATA2 KD + R1881 | FOXA1 ChIP-Seq, FOXA1 ChIP-Seq - LNCaP-abl, CON KD + R1881 | FOXA1 ChIP-Seq, CON KD | FOXA1 ChIP-Seq, FOXA1 ChIP-Seq"
REST,MECR,mammarygland,,,,REST IP - MCF7 cells
EGR1,MECR,stemcells,,,,EGR1 IP - H1 cells
CEBPB,MECR,liver,,,,"CEBPB IP - HepG2 cells, CEBPB ChIP-Seq - HepG2, CEBPB IP | FORSK - HepG2 cells"
CTCF,MECR,cns,,,,"CTCF IP - NHA cells , CTCF IP - spinal cord astrocyte cells, Rep 1 , CTCF IP - spinal cord astrocyte cells, Rep 2 , CTCF IP - SK-N-SH cells , CTCF IP - cerebellar astrocyte cells, Rep 2 , CTCF IP - HCPEpiC cells, Rep 2 , CTCF IP - SK-N-SH cells, Rep 2 , CTCF IP - BE(2)-C cells, Rep 1 , CTCF IP - SK-N-SH cells, Rep 1 , CTCF IP - HCPEpiC cells, Rep 1 , CTCF IP - SK cells"
TEAD4,MECR,stemcells,,,,TEAD4 IP - H1 cells
ATF3,MECR,liver,,,,ATF3 IP - HepG2 cells
MAX,MECR,liver,,,,"MAX IP - HepG2 cells, MAX IP - HepG2 cells, MAX IP - MCF7 cells"
CTCF,MECR,uterus,,,,"CTCF IP - HeLa cells , CTCF IP - ECC1 cells, CTCF IP - HeLa cells, Rep 1 "
MYC,MECR,uterus,,,,MYC IP - HeLa cells
CEBPB,MECR,colon,,,,CEBPB IP - HCT116 cells
GATA1,MECR,hspcs,,,,"GATA1 IP - PBDE cells, Rep 1"
ERG,MECR,prostate,,,,"DMSO | ERG ChIP-Seq - Rep 1, DHT | ERG ChIP-Seq - 18 h, ERG ChIP-Seq"
TBP,MECR,liver,,,,TBP IP - HepG2 cells
KLF11,MECR,adiposetissue,,,,"ROSI (BrAT) | KLF11 ChIP-Seq, Rep 1, KLF11 ChIP-Seq, Rep 1, ROSI (BrAT) | KLF11 ChIP-Seq, Rep 2, KLF11 ChIP-Seq, Rep 2"
ROSI,MECR,adiposetissue,,,,"ROSI (BrAT) | KLF11 ChIP-Seq, Rep 1, ROSI (BrAT) | KLF11 ChIP-Seq, Rep 2"
ELF1,MECR,mammarygland,,,,ELF1 IP - MCF7 cells
ATF2,MECR,stemcells,,,,ATF2 IP - H1 cells
CREB1,MECR,prostate,,,,"FOXA1 siRNA | CREB1 ChIP-Seq - Rep 1, CREB1 ChIP-Seq - LNCaP, CREB1 ChIP-Seq - Rep 2, CREB1 ChIP-Seq - LNCaP-abl, FOXA1 siRNA | CREB1 ChIP-Seq - Rep 2, CREB1 ChIP-Seq - Rep 1"
MAX,MECR,uterus,,,,"MAX IP - HeLa cells, Rep 2, MAX IP - HeLa cells, Rep 1, MAX IP - ECC1 cells"
HMGN3,MECR,leukocytes,,,,HMGN3 IP - K562 cells
JUND,MECR,stemcells,,,,"JUND IP - H1 cells, JUND IP - H1 cells"
SRF,MECR,colon,,,,SRF IP - HCT116 cells
YY1,MECR,cns,,,,"YY1 IP | ATRA - SK-N-SH cells, YY1 IP - SK-N-SH cells"
IRF4,MECR,leukocytes,,,,"IRF4 IP - GM12878 cells, IRF4 IP"
ELF1,MECR,leukocytes,,,,"ELF1 IP - SK-N-SH cells, ELF1 IP - SK-N-SH cells"
RELA,MECR,leukocytes,,,,"RELA IP | TNF - GM18951 cells, RELA IP | TNF - GM12891 cells, RELA IP | BAY082  - IVD Th1 cells, PIA, RELA IP | TNF - GM19099 cells, RELA IP - IVD Th1 cells, PIA, RELA IP | TNF - GM19193 cells"
TNF,MECR,leukocytes,,,,"RELA IP | TNF - GM18951 cells, RELA IP | TNF - GM12891 cells, RELA IP | TNF - GM19193 cells"
TBP,MECR,stemcells,,,,TBP IP - H1 cells
HES6,MECR,prostate,,,,"BICALU + HES6OE | E2F1 ChIP-Seq - Rep 4, HES6 OE | E2F1 ChIP-Seq - Rep 3, HES6 OE | E2F1 ChIP-Seq - Rep 1, HES6 OE + BICALU | E2F1 ChIP-Seq - Rep 1, HES6 OE + BICALU | E2F1 ChIP-Seq - Rep 3"
17BE2,MECR,mammarygland,,,,"17BE2 | FOXA1 ChIP-Seq - Rep 2, 17BE2 | FOXA1 ChIP-Seq - Rep 1, 17BE2 | FOXA1 ChIP-Seq - Rep 2, 17BE2 | FOXA1 ChIP-Seq - Rep 1"
ATF3,MECR,leukocytes,,,,"ATF3 IP - GM12878 cells, ATF3 IP - K562 cells, ATF3 IP - K562 cells"
STAT5A,MECR,leukocytes,,,,STAT5A IP - GM12878 cells
SRF,MECR,stemcells,,,,"SRF IP - Rep 1 , SRF IP - H1 cells, SRF IP - Rep 7 , SRF IP - Rep 4 , SRF IP - Rep 6 , SRF IP - Rep 5 "
E2F6,MECR,leukocytes,,,,"E2F6 IP - K562 cells, E2F6 IP - K562 cells"
REST,MECR,stemcells,,,,"REST IP - H1 cells, Rep 2, REST IP - H1 cells, Rep 1"
CEBPB,MECR,mammarygland,,,,CEBPB IP - MCF7 cells
MYC,MECR,mammarygland,,,,"MYC IP - MCF-10A cells, DHT | MYC ChIP-Seq, MYC IP | 4HT - MCF10A cells"
GABPA,MECR,liver,,,,GABPA IP - HepG2 cells
SP1,MECR,liver,,,,SP1 IP - HepG2 cells
USF2,MECR,uterus,,,,USF2 IP - HeLa cells
NFYB,MECR,leukocytes,,,,"NFYB IP - K562 cells, NFYB IP - GM12878 cells"
YY1,MECR,leukocytes,,,,"YY1 IP - K562 cells, Rep 1, YY1 IP - GM12892 cells, Rep 1, YY1 IP - GM12878 cells, YY1 IP - GM12891 cells, YY1 IP - K562 cells, Rep 2"
GABPA,MECR,leukocytes,,,,"GABPA IP - K562 cells, GABPA IP - GM12878 cells, Rep 5 , GABPA IP - GM12878 cells, Rep 4 "
CTCF,MECR,heart,,,,"CTCF IP - HCF cells , CTCF IP - myocytes cells, Rep 1 "
TEAD4,MECR,uterus,,,,TEAD4 IP - ECC1 cells
CTCF,MECR,miscellaneous,,,,"CTCF IP - AG09319 cells, Rep 2 , CTCF IP - AG09319 cells, Rep 1 "
SP1,MECR,stemcells,,,,"SP1 IP - Rep 2 , SP1 IP - Rep 1 , SP1 IP - H1 cells"
E2F6,MECR,stemcells,,,,E2F6 IP - H1 cells
GATA1,MECR,leukocytes,,,,GATA1 ChIP-Seq - SC266
IRF1,MECR,leukocytes,,,,"IRF1 IP | IFNA1-13 - K562 cells, 6 h, IRF1 IP | IFNG - K562 cells, 6 h, IRF1 IP | IFNG - K562 cells, 30 min"
IFNA1,MECR,leukocytes,,,,"IRF1 IP | IFNA1-13 - K562 cells, 6 h, MYC IP | IFNA1 - K562 cells, 6 h, JUN IP | IFNA1-13 - 30 min , MYC IP | IFNA1 - K562 cells, 30 min"
STAT3,MECR,uterus,,,,STAT3 IP - HeLa cells
YY1,MECR,stemcells,,,,YY1 IP - H1 cells
NFYC,MECR,colon,,,,NFYC IP 
MAZ,MECR,lung,,,,MAZ IP - IMR cells
NFYA,MECR,uterus,,,,NFYA IP - HeLa cells
DHT,MECR,prostate,,,,"DHT | ERG ChIP-Seq - 18 h, DHT | FOXA1 ChIP-Seq"
USF1,MECR,uterus,,,,USF1 IP - ECC1 cells
CREB1,MECR,lung,,,,"CREB1 IP | DEX - A549 cells, CREB1 IP - A549 cells, Rep 1, CREB1 IP - A549 cells, Rep 2"
TCF7L2,MECR,mammarygland,,,,"DHT | TCF7L2 ChIP-Seq, TCF7L2 ChIP-Seq"
DHT,MECR,mammarygland,,,,"DHT | TCF7L2 ChIP-Seq, DHT | FOXA1 ChIP-Seq, DHT | MYC ChIP-Seq"
SRF,MECR,mammarygland,,,,SRF IP - MCF7 cells
MYC,MECR,stemcells,,,,"MYC IP - H1 cells, MYC IP - Rep 2 "
CREB1,MECR,liver,,,,CREB1 IP - HepG2 cells
CTCF,MECR,esophagus,,,,"CTCF IP - HEEpiC cells, Rep 1 "
E2F6,MECR,uterus,,,,E2F6 IP - HeLa cells
USF1,MECR,colon,,,,USF1 IP - HCT116 cells
CTCF,MECR,bone,,,,CTCF IP - Osteoblasts 
JUN,MECR,colon,,,,JUN IP 
JUND,MECR,lung,,,,JUND IP - A549 cells
GLI2,MECR,colon,,,,GLI2 IP 
E2F3,MECR,colon,,,,E2F3 IP 
BACH1,MECR,stemcells,,,,BACH1 IP - H1 cells
REST,MECR,leukocytes,,,,REST IP - K562 cells
ETS1,MECR,leukocytes,,,,"ETS1 IP - K562 cells, ETS1 IP - GM12878 cells"
CEBPB,MECR,lung,,,,"CEBPB ChIP-Seq - A549, CEBPB ChIP-Seq - IMR90, CEBPB IP - A549 cells"
TEAD4,MECR,leukocytes,,,,TEAD4 IP - K562 cells
MAX,MECR,lung,,,,"MAX IP - A549 cells, MAX IP - A549 cells"
CTCF,MECR,skeletalmuscle,,,,"CTCF IP - HSMM cells, Rep 1 , CTCF IP - HSMM cells, Rep 2 "
ELF1,MECR,liver,,,,ELF1 IP - HepG2 cells
EGR1,MECR,colon,,,,EGR1 IP - HCT116 cells
YY1,MECR,liver,,,,YY1 IP - HepG2 cells
TBP,MECR,uterus,,,,TBP IP - HeLa cells
SMAD4,MECR,stemcells,,,,SMAD4 IP - Rep 1 
MXI1,MECR,liver,,,,MXI1 IP - HepG2 cells
STAT2,MECR,colon,,,,STAT2 IP 
FOXA1,MECR,liver,,,,"FOXA1 IP - HepG2 cells, Rep 1, FOXA1 IP - HepG2 cells, Rep 2"
USF1,MECR,lung,,,,"USF1 IP | DEX - A549 cells, USF1 IP - A549 cells, Rep 2"
SRF,MECR,liver,,,,SRF IP - HepG2 cells
FOSL2,MECR,cns,,,,FOSL2 IP - SK-N-SH cells
STAT3,MECR,mammarygland,,,,"STAT3 IP | 4HT - MCF10 cells, 36 h"
4HT,MECR,mammarygland,,,,"STAT3 IP | 4HT - MCF10 cells, 36 h, FOS IP | 4HT - MCF10A cells, 4 h, E2F4 IP | 4HT - MCF10 cells, MYC IP | 4HT - MCF10A cells"
USF2,MECR,leukocytes,,,,USF2 IP - GM12878 cells
YY1,MECR,lung,,,,YY1 IP - A549 cells
HEY1,MECR,liver,,,,HEY1 IP - HepG2 cells
MAZ,MECR,leukocytes,,,,"MAZ IP - K562 cells, MAZ IP - GM12878 cells"
RELA,MECR,colon,,,,RELA IP 
TCF12,MECR,lung,,,,TCF12 IP - A549 cells
REST,MECR,pancreas,,,,"REST IP - Panc1 cells, Rep 3"
E2F1,MECR,mammarygland,,,,E2F1 IP - MCF7 cells
FOXP2,MECR,cns,,,,"FOXP2 IP - PFSK-1 cells, FOXP2 IP - SK cells"
TBP,MECR,leukocytes,,,,"TBP IP - GM12878 cells, TBP IP - K562 cells"
UBTF,MECR,leukocytes,,,,"UBTF IP - K562 cells, UBTF IP - K562 cells"
FOSL1,MECR,colon,,,,FOSL1 IP - HCT116 cells
CREB1,MECR,uterus,,,,CREB1 IP - ECC1 cells
HOXA4,MECR,colon,,,,HOXA4 IP 
ZEB1,MECR,liver,,,,ZEB1 IP - HepG2 cells
USF2,MECR,stemcells,,,,USF2 IP - H1 cells
FOXM1,MECR,mammarygland,,,,FOXM1 IP - MCF7 cells
FOXP1,MECR,colon,,,,FOXP1 IP 
THAP1,MECR,leukocytes,,,,THAP1 IP - K562 cells
R1881,MECR,prostate,,,,"GATA2 KD + R1881 | FOXA1 ChIP-Seq, CON KD + R1881 | FOXA1 ChIP-Seq"
GATA2,MECR,prostate,,,,GATA2 KD + R1881 | FOXA1 ChIP-Seq
SP1,MECR,lung,,,,SP1 IP - A549 cells
MAX,MECR,cns,,,,MAX IP - SK-N-SH cells
TAL1,MECR,colon,,,,TAL1 IP 
YY1,MECR,uterus,,,,YY1 IP - ECC1 cells
CEBPB,MECR,uterus,,,,"CEBPB ChIP-Seq - HeLaS3, CEBPB IP - ECC1 cells"
ATF2,MECR,leukocytes,,,,ATF2 IP - GM12878 cells
SP1,MECR,leukocytes,,,,"SP1 IP - K562 cells, SP1 IP - GM12878 cells"
MAX,MECR,vasculature,,,,MAX IP - HUVEC cells
TCF12,MECR,stemcells,,,,TCF12 IP - H1 cells
CREB1,MECR,leukocytes,,,,"CREB1 IP - K562 cells, CREB1 IP - GM12878 cells"
MYC,MECR,lung,,,,MYC IP - A549 cells
HOXA6,MECR,colon,,,,HOXA6 IP 
STAT1,MECR,uterus,,,,"STAT1 IP | IFNG - HeLa cells, 30 min"
IFNG,MECR,uterus,,,,"STAT1 IP | IFNG - HeLa cells, 30 min"
EGR1,MECR,leukocytes,,,,EGR1 IP - K562 cells
JUND,MECR,liver,,,,"JUND IP - HepG2 cells, JUND IP - HepG2 cells"
EBF1,MECR,leukocytes,,,,"EBF1 IP - GM12878 cells, EBF1 IP - GM12878 cells"
CTCF,MECR,liver,,,,"CTCF IP - HepG2 cells, Rep 2 , CTCF IP - HepG2 cells, Rep 1 , CTCF IP - SK-N-SH cells"
HEY1,MECR,leukocytes,,,,HEY1 IP - K562 cells
E2F1,MECR,uterus,,,,"E2F1 IP - HeLa cells, Rep 2, E2F1 IP - HeLa cells, Rep 1"
ZNF384,MECR,leukocytes,,,,ZNF384 IP - K562 cells
TCF7L2,MECR,uterus,,,,TCF7L2 IP - HeLa cells
JUND,MECR,cns,,,,JUND IP - SK-N-SH cells 
PBX3,MECR,cns,,,,PBX3 IP - SK-N-SH cells
CREB1,MECR,colon,,,,CREB1 IP 
FOSL2,MECR,liver,,,,FOSL2 IP - HepG2 cells
USF1,MECR,liver,,,,USF1 IP - HepG2 cells
FOS,MECR,mammarygland,,,,"FOS IP | 4HT - MCF10A cells, 4 h"
ZNF143,MECR,stemcells,,,,ZNF143 IP - H1 cells
MAZ,MECR,uterus,,,,MAZ IP - HeLa cells
JUND,MECR,leukocytes,,,,JUND IP - K562 cells
POU2F2,MECR,leukocytes,,,,POU2F2 IP - GM12878 cells
ZBTB7A,MECR,liver,,,,ZBTB7A IP - HepG2 cells
BHLHE40,MECR,liver,,,,BHLHE40 IP - HepG2 cells
GABPA,MECR,cns,,,,GABPA IP - SK-N-SH cells
BAY082,MECR,leukocytes,,,,"RELA IP | BAY082  - IVD Th1 cells, PIA"
MAX,MECR,colon,,,,MAX IP - HCT116 cells
PAX5,MECR,leukocytes,,,,"PAX5 IP - GM12878 cells, Rep 2, PAX5 IP - GM12892 cells, PAX5 IP - GM12878 cells, Rep 1"
MAZ,MECR,liver,,,,MAZ IP - HepG2 cells
TCF12,MECR,leukocytes,,,,TCF12 IP - GM12878 cells
E2F4,MECR,mammarygland,,,,E2F4 IP | 4HT - MCF10 cells
FORSK,MECR,liver,,,,CEBPB IP | FORSK - HepG2 cells
MTA3,MECR,leukocytes,,,,MTA3 IP - GM12878 cells
ZNF263,MECR,kidney,,,,ZNF263 IP - HEK293 cells
IRF1,MECR,colon,,,,IRF1 IP 
NFYB,MECR,uterus,,,,NFYB IP - HeLa cells
MEF2A,MECR,leukocytes,,,,MEF2A IP - GM12878 cells
JUND,MECR,colon,,,,JUND IP - HCT116 cells
ELF1,MECR,cns,,,,ELF1 IP - SK-N-SH cells
FOXM1,MECR,leukocytes,,,,FOXM1 IP - GM12878 cells
ZNF83,MECR,colon,,,,ZNF83 IP 
MXI1,MECR,uterus,,,,MXI1 IP - HeLa cells
TCF3,MECR,leukocytes,,,,TCF3 IP - GM12878 cells
SRF,MECR,uterus,,,,SRF IP - ECC1 cells
GABPA,MECR,stemcells,,,,GABPA IP - H1 cells
FOXA2,MECR,liver,,,,FOXA2 IP - HepG2 cells
SIX5,MECR,leukocytes,,,,SIX5 IP - GM12878 cells
ZBTB7A,MECR,uterus,,,,ZBTB7A IP - ECC1 cells
MXI1,MECR,cns,,,,MXI1 IP - SK-N-SH cells 
E2F4,MECR,leukocytes,,,,E2F4 IP - K562 cells
ATF3,MECR,colon,,,,ATF3 IP - HCT116 cells
YY1,MECR,colon,,,,YY1 IP - HCT116 cells
ATF1,MECR,leukocytes,,,,ATF1 IP - K562 cells
IRF1,OLAH,leukocytes,,,,"IRF1 IP | IFNG - K562 cells, 30 min, IRF1 IP | IFNG - K562 cells, 6 h, IRF1 IP | IFNA1-13 - K562 cells, 6 h, IRF1 IP - Rep 2, IRF1 IP - Rep 4, IRF1 IP - Rep 1, IRF1 IP - Rep 3"
IFNG,OLAH,leukocytes,,,,"IRF1 IP | IFNG - K562 cells, 30 min, STAT1 IP - Rep 5, STAT1 IP - Rep 6, IRF1 IP | IFNG - K562 cells, 6 h, IRF1 IP - Rep 2, IRF1 IP - Rep 4, IRF1 IP - Rep 1, STAT1 IP - Rep 2, STAT1 IP - Rep 1, MYC IP | IFNG - K562 cells, 6 h, STAT1 IP - Rep 4, MYC IP | IFNG - K562 cells, 30 min, STAT1 IP - Rep 3, IRF1 IP - Rep 3"
FOXA1,OLAH,mammarygland,,,,"17BE2 | FOXA1 ChIP-Seq - Rep 1, FOXA1 ChIP-Seq - Rep 1, DEX | FOXA1 ChIP-Seq - Rep 1, DEX | FOXA1 ChIP-Seq - Rep 2, FOXA1 IP - T47D cells, FOXA1 IP - T47D, FOXA1 ChIP-Seq - Rep 2, 17BE2 | FOXA1 ChIP-Seq - Rep 2"
17BE2,OLAH,mammarygland,,,,"17BE2 | FOXA1 ChIP-Seq - Rep 1, 17BE2 | FOXA1 ChIP-Seq - Rep 2"
CEBPB,OLAH,colon,,,,CEBPB IP | 125DVD3
125DVD3,OLAH,colon,,,,CEBPB IP | 125DVD3
E2F6,OLAH,leukocytes,,,,"E2F6 IP - K562 cells, E2F6 IP - K562 cells"
TP53,OLAH,bone,,,,"TP53 IP | TP53RR OE, TP53 IP | TP53 OE, TP53 IP | TP53EE OE, TP53 IP | TP53EE/RR OE, TP53 IP | NUTL3 - SJSA-1"
SPI1,OLAH,leukocytes,,,,"SPI1 IP, SPI1 IP, SPI1 IP, ROSI | SPI1 ChIP-Seq, SPI1 IP, SPI1 IP, SPI1 IP - K562 cells, SPI1 IP, SPI1 IP, SPI1 IP - GM12878 cells, SPI1 IP, SPI1 IP - HL cells, SPI1 IP - GM12891 cells, SPI1 IP - GM12878 cells, Rep 3 , SPI1 IP"
MYC,OLAH,leukocytes,,,,"MYC IP - K562 cells, Rep 1, MYC IP | IFNG - K562 cells, 6 h, MYC IP | IFNG - K562 cells, 30 min, MYC IP - K562 cells, Rep 2"
FOXA2,OLAH,liver,,,,FOXA2 IP - HepG2 cells
CEBPB,OLAH,lung,,,,"CEBPB ChIP-Seq - IMR90, CEBPB ChIP-Seq - A549"
